Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,9,0.61,0.01,0.30426709798506846
100% Corpus,9,0.61,0.31,0.3018951218284658
100% Corpus,9,0.61,0.61,0.3001071122248435
100% Corpus,9,0.61,0.9099999999999999,0.34618320085549326
100% Corpus,9,0.61,symmetric,0.30433563585169243
100% Corpus,9,0.9099999999999999,0.01,0.3055723111286964
100% Corpus,9,0.9099999999999999,0.31,0.3030863932378131
100% Corpus,9,0.9099999999999999,0.61,0.29813786201586745
100% Corpus,9,0.9099999999999999,0.9099999999999999,0.34500630064915166
100% Corpus,9,0.9099999999999999,symmetric,0.3038428140388971
100% Corpus,9,symmetric,0.01,0.3023576157049908
100% Corpus,9,symmetric,0.31,0.30302760647148597
100% Corpus,9,symmetric,0.61,0.3003121132770352
100% Corpus,9,symmetric,0.9099999999999999,0.34214587751079284
100% Corpus,9,symmetric,symmetric,0.3022567927575817
100% Corpus,9,asymmetric,0.01,0.3057340479868098
100% Corpus,9,asymmetric,0.31,0.30328591827752077
100% Corpus,9,asymmetric,0.61,0.3011057586148252
100% Corpus,9,asymmetric,0.9099999999999999,0.350861967504945
100% Corpus,9,asymmetric,symmetric,0.30251782074437106
100% Corpus,10,0.01,0.01,0.283398008758761
100% Corpus,10,0.01,0.31,0.2751258030801618
100% Corpus,10,0.01,0.61,0.2915458869869755
100% Corpus,10,0.01,0.9099999999999999,0.2948656869892196
100% Corpus,10,0.01,symmetric,0.2777952167218004
100% Corpus,10,0.31,0.01,0.28125840155500537
100% Corpus,10,0.31,0.31,0.2762321145354264
100% Corpus,10,0.31,0.61,0.29037856739931606
100% Corpus,10,0.31,0.9099999999999999,0.29658208038434386
100% Corpus,10,0.31,symmetric,0.27688479666982796
100% Corpus,10,0.61,0.01,0.2803111695414585
100% Corpus,10,0.61,0.31,0.27818213083876936
100% Corpus,10,0.61,0.61,0.2894460065949672
100% Corpus,10,0.61,0.9099999999999999,0.29802196235401307
100% Corpus,10,0.61,symmetric,0.27614054331196536
100% Corpus,10,0.9099999999999999,0.01,0.2817458696637633
100% Corpus,10,0.9099999999999999,0.31,0.2783073583069227
100% Corpus,10,0.9099999999999999,0.61,0.2889530806223174
100% Corpus,10,0.9099999999999999,0.9099999999999999,0.2950248587541427
100% Corpus,10,0.9099999999999999,symmetric,0.27614054331196536
100% Corpus,10,symmetric,0.01,0.2821805736812627
100% Corpus,10,symmetric,0.31,0.2751258030801618
100% Corpus,10,symmetric,0.61,0.2911575680096669
100% Corpus,10,symmetric,0.9099999999999999,0.2948656869892196
100% Corpus,10,symmetric,symmetric,0.2777952167218004
100% Corpus,10,asymmetric,0.01,0.2818119554111271
100% Corpus,10,asymmetric,0.31,0.2804636061791579
100% Corpus,10,asymmetric,0.61,0.29020292429978206
100% Corpus,10,asymmetric,0.9099999999999999,0.2973427325310818
100% Corpus,10,asymmetric,symmetric,0.278615868791953
